TEMP	HUMID	SOLAR	WIND	!WBE
64.5	0.0125	1.1	4.2	532.8
65.2	0.0128	8.4	5.3	541
66.5	0.0128	58.2	4.79	569.4
67.9	0.0124	233	5.47	590.2
70.9	0.0109	368	5.92	607.7
73.7	0.0095	510	5.68	622.3
75.9	0.0088	632	6.45	634.8
78.7	0.0079	767	5.22	643.3
81.6	0.0074	780	5.88	629.4
83.3	0.0069	718	6.28	613.5
84.2	0.0061	532	7.58	594.8
84.6	0.0055	338	7.6	579.4
83.4	0.0057	116	5.6	577.1
81.6	0.0063	2.3	2.83	568.4
80.2	0.0066	0.4	0.57	580.6
78.5	0.0071	0.5	0.18	583.7
77.5	0.0072	0.6	0.27	572.9
75.2	0.0078	0.6	0.46	568.1
72.9	0.0079	0.7	1.37	558.7
72.4	0.0077	0.9	0.53	553.6
73	0.0075	0.9	0.31	544.5
72.3	0.0074	0.9	0.45	540.7
68.6	0.0085	1	5.16	541.6
66	0.0088	1	9.17	541.2
67.5	0.0087	1	8.84	539.8
68.5	0.0088	21.9	9.09	528.3
69.3	0.0088	177	7.85	529.3
73.5	0.009	389	8.77	539.2
78.1	0.0082	591	7.81	556.1
82.3	0.0072	749	8.01	564.9
84.7	0.0065	844	7.77	573.9
87.4	0.0052	877	6.51	586.4
90	0.0042	833	4.8	582.6
92	0.0034	717	4.17	585.9
93.2	0.0021	546	3.83	583.3
93.6	0.0018	329	3.47	582.7
92.7	0.002	106	2.6	580.8
89.4	0.0035	1.7	3.49	590.5
86.1	0.0048	-0.1	4.71	589.8
84.1	0.005	0	5.83	583.5
80.8	0.0074	0.1	10.1	569.6
77.9	0.0092	0.3	10.2	559.7
76.1	0.0093	0.4	8.54	534
74.1	0.0105	0.5	7.29	516.9
72.6	0.0122	0.6	6.5	519.6
71.8	0.0134	0.6	7.09	523.4
71.2	0.0143	0.7	7.19	522.5
70.7	0.0153	0.7	6.94	525
70.4	0.0161	0.7	4.97	549.2
70.5	0.0162	11.6	4.79	641.1
70.6	0.0163	82.6	5.01	799.2
72.5	0.0163	350	4.8	876.3
78.5	0.0118	586	8.21	898.4
82.9	0.01	747	6.24	901.8
87	0.0074	839	4.28	892.3
90.1	0.0056	867	3.56	916.9
92.6	0.0035	824	4.41	944.7
93.5	0.0031	706	6.61	935.4
93.3	0.0035	528	7.37	891
92.9	0.0042	310	6.33	782.1
91.2	0.0047	95.1	6.36	718.9
88.4	0.006	1.4	3.83	692.2
85.9	0.0074	-0.1	4.27	699.2
83.6	0.0081	0	6.18	669.7
80.5	0.0091	0	6.36	642.1
78.1	0.0101	0.1	8.19	624.3
76.3	0.0111	0.3	7.11	584
74.5	0.0118	0.5	6.88	555.5
73.4	0.0124	0.5	4.88	543.4
72.5	0.013	0.7	1.73	539
71.9	0.0134	0.7	0.78	536.6
70.9	0.0136	0.9	0.78	543.7
69.7	0.0137	0.9	0.78	579.3
67.3	0.0126	21.1	0.78	671.9
68.4	0.0126	169	0.66	825
71.8	0.0138	379	1.49	879.5
76.6	0.0132	515	2.4	910.4
80.1	0.0111	680	2.44	901.5
83.5	0.0093	781	2.62	890.9
85.9	0.007	800	4.67	915.6
87.5	0.0061	785	6.15	920
88.2	0.0064	626	5.07	927.1
89.6	0.0051	534	6.25	884.4
89.2	0.006	292	8.41	771
87.7	0.007	85.1	7.33	701
85.6	0.0079	1.1	5.84	700.6
82.4	0.0105	0	6.94	697.1
80.6	0.0114	0.1	3.05	655.7
79.4	0.0113	0.3	3.34	614.1
77.9	0.0114	0.3	4.57	613
78.5	0.0098	0.3	5.96	581.2
77.6	0.0106	0.4	3.11	562.6
77.3	0.0117	0.4	2.85	540.9
76.1	0.0116	0.4	1.97	527.2
74.9	0.0122	0.4	3.46	522.2
74.6	0.0126	0.5	2.76	527.4
74.6	0.013	0.5	1.69	572.7
73.9	0.0134	4.8	2.8	658.8
73.9	0.013	26.2	5.58	792.3
74.4	0.0118	60.9	3.16	868.1
76.8	0.0122	180	2.44	904.4
77.9	0.0129	322	5.23	901.9
80.7	0.0129	733	7.26	892.1
83.3	0.0123	374	6.37	906.3
85.7	0.0089	380	7.96	925
87.4	0.0082	445	8.89	905
87.7	0.008	352	8.45	879.4
88.2	0.0075	237.8	9.47	778.91
86.9	0.0085	62.1	7.69	710.43
85.7	0.0086	0.5	4.33	695.87
84.6	0.009	-0.1	4	680.8
83.5	0.0094	-0.1	5.01	665.1
81.7	0.0102	0	4.66	651.67
79.9	0.0107	0.1	4.44	606.94
77.9	0.0111	0.3	3.51	577.86
76.8	0.0115	0.4	4.25	558.74
75	0.0119	0.4	2.06	547.58
73.5	0.0125	0.6	3.37	543.06
71.5	0.013	0.7	4.11	544.96
71.5	0.0144	0.7	2.98	545.89
70.7	0.0144	0.7	2.52	580.63
70	0.0138	7.2	1.63	655.95
70.6	0.0138	80.2	3.75	806.52
72.2	0.0155	187.3	4.81	865.51
76.4	0.0149	449.9	6.08	900.95
79.4	0.013	467.5	6.13	918.94
82.2	0.0109	672	5.91	903.18
85	0.0089	817.4	5.31	939.24
86.8	0.008	682.2	5.1	953.35
87.9	0.0075	572.4	5.06	934.9
88.9	0.0068	471.9	4.45	904.21
88.5	0.0072	152.7	6.1	789.59
87.9	0.0072	72.6	4.17	735.96
86.3	0.0078	0.6	4.25	715.81
83.8	0.0089	-0.1	6.5	710.08
81.4	0.0106	0	8.66	686.05
79.1	0.0135	0.1	7.38	651.14
77.5	0.0156	0.3	7.37	624.32
76.4	0.0167	0.4	7.06	592.11
76.2	0.0169	0.4	8.64	577.38
76.5	0.0167	0.4	7.62	565.43
76.7	0.0168	0.4	6.03	562.22
76.7	0.017	0.4	4.12	565.19
76.4	0.0176	0.4	3.31	565.73
75.6	0.0179	0.4	3.04	597.83
75.3	0.0182	8.4	2.69	679.1
75.7	0.0185	60.9	3.82	824.88
77.3	0.018	172.2	5.08	891.7
79.8	0.0172	182.4	5.42	927.22
82	0.0163	435.7	7.24	930.03
86.1	0.0142	714.9	7.63	910.3
87.4	0.0131	391.8	7.61	913.43
89.3	0.0122	506.5	5.03	915.21
90.9	0.0111	529.9	2.14	891.91
91.5	0.0105	184.4	0.85	850.17
91.8	0.0103	123.9	4.46	700.53
78.9	0.015	24.5	11.55	630.49
77.1	0.0141	0.5	4.06	614.54
76.9	0.0145	0.3	6.42	612.4
75.7	0.015	0.4	6.7	591.53
75.1	0.0157	0.3	5.08	576.76
75	0.0158	0.4	4.05	567.02
75.2	0.0148	0.5	1.34	552.74
75.3	0.0149	0.5	2.14	537.76
74.8	0.0162	0.5	4.2	533.91
74.3	0.0169	0.4	6.98	529.06
73.5	0.0171	0.5	6	508.12
70.5	0.0161	0.5	6.01	494.09
69.6	0.0157	0.7	5.28	491.61
68.9	0.0153	1.1	7.17	490.08
68.1	0.0149	4.2	7.77	494.19
66.9	0.0143	32.1	9.69	529.58
67	0.0143	98.2	8.61	553.65
67.8	0.0147	168.5	8.26	575.18
69	0.0154	108.2	6.99	576.92
69.5	0.015	79.4	7.07	586.47
68.7	0.0146	65.5	8.18	587.15
66.7	0.0137	86.5	10.68	591.25
66	0.0126	57.5	10.65	591.61
64.8	0.0119	36.5	10.13	586.76
63.5	0.0116	7.9	9.91	577.56
62.1	0.0116	1.1	8.4	584.57
62.6	0.0103	1.2	8.29	584.52
63.1	0.0097	1.2	8.89	573.89
63.3	0.0092	1.1	7.38	566.16
63.3	0.0093	1.1	5.68	558.39
63.4	0.0093	1.1	5.35	536.42
63.5	0.0086	1.1	5.3	528.94
62	0.0091	1.2	4.41	523.91
60.5	0.0098	1.4	4.05	518.69
59.4	0.0099	1.6	5.78	518.13
58.7	0.0097	1.5	6.3	517.55
58.3	0.0095	1.6	7.68	522.94
57.5	0.0096	18.4	7.37	512.52
59.2	0.0096	191.9	7.62	508.09
63	0.0078	351.8	7.37	517.72
66.6	0.0051	607.5	9.54	531.88
69.7	0.004	771.5	8.32	537.64
72.4	0.0029	822.3	8.89	554.77
74.7	0.0026	878.9	7.71	578.07
76.9	0.0022	824.2	8.18	598.36
77.7	0.0017	686.6	8.1	607.77
78.4	0.0015	533.8	8.91	616.5
78.2	0.0015	316.6	8.54	602.57
76.7	0.0024	93.6	6.05	596.12
74.2	0.0034	1.1	2.51	583.99
72.2	0.0041	0.7	2.27	586.29
70.3	0.0045	1	1.45	589.43
68.5	0.0047	1.1	1.05	580.17
66.6	0.005	1.4	0.73	572.01
65.2	0.005	1.5	1.75	546.99
63.9	0.0052	1.5	1.84	530.31
62.3	0.0055	1.5	3.25	530.19
60.4	0.0058	1.5	3.21	524.47
59	0.006	1.6	3.48	521.51
58.6	0.0062	1.7	2.29	522.91
58.4	0.0062	1.7	1.63	564.57
58.3	0.0063	15	0.36	681.73
59.8	0.0061	136.8	0.89	826.78
63.8	0.0056	345.4	3.1	884.2
68	0.0049	580.7	7.33	916.63
72.7	0.0043	740.3	5.65	930.34
76.5	0.0028	835	3.55	915.98
78.9	0.002	861.3	3.44	926.43
80	0.0019	829.1	3.11	943
80.7	0.0019	487.5	2.94	930.02
81.2	0.0015	484.5	2.67	906.7
81.2	0.0019	294.7	4.21	795.95
80.2	0.0023	80.7	1.24	738.25
78	0.0031	0.6	2.19	730.06
75.3	0.004	0.4	4.68	728.87
74.3	0.0038	0.6	3.75	699.43
74.1	0.0038	0.6	2.1	649.71
73.3	0.0036	0.6	2.48	636.28
72.2	0.0037	0.9	1.14	596.67
71.4	0.0042	1	2.05	588.41
69.5	0.0047	0.9	4.51	575
66.7	0.0061	1	8.68	568.06
65.3	0.0072	1.1	7.06	565.43
64.7	0.0072	1.1	5.92	572.25
63.4	0.0069	1.2	9.24	611.82
62.3	0.0072	15	7.01	687.26
63.6	0.0075	150.9	2.22	831.24
67.7	0.0083	356.7	7.52	882.35
72	0.0075	555.8	8.19	909.93
75.8	0.0064	711.5	5.18	910.15
79.6	0.0048	808.6	3.19	904.69
83	0.0034	832	3.05	920.66
85.6	0.003	785.2	1.81	920.28
86.9	0.0026	671.5	1.45	918.15
87.2	0.0022	501.6	3.21	885.62
87.3	0.0016	291.3	4.26	785.01
86.2	0.0021	78.2	4.03	711.81
83	0.0035	0.4	6.49	700.77
80.7	0.0042	0.1	7.82	706.9
78.8	0.0049	0.3	6.84	663.25
77.3	0.005	0.3	8.84	651.72
74.4	0.0065	0.5	8.3	617.94
72.9	0.0067	0.7	6.33	593.34
71.7	0.0066	0.7	6.94	578.46
69.9	0.0073	0.9	3.55	572.6
68.7	0.008	1	4.05	567.7
67.9	0.0085	1	2.64	557.71
67.3	0.0091	1.1	4.6	560.31
66.7	0.0093	1.1	5.79	592.73
66.8	0.0088	14.8	3.73	679.19
68.3	0.0084	154.9	3.86	833.81
71	0.0078	361.5	4.79	887.35
76.5	0.006	564.1	9.44	924.7
82.1	0.0043	720.8	9.29	933.11
85.6	0.0032	818.4	7.13	912.27
87.6	0.0023	843.8	6.93	923.75
88.8	0.0013	793	8.45	940.38
89.8	0.0015	656.3	7.24	939.14
89.9	0.0016	504.6	7.15	905.16
89.3	0.0018	291.8	6.61	797.5
87.5	0.0023	74.6	4.97	721.88
84	0.0038	0.5	4.38	703.89
81.5	0.0041	0.3	5.18	695.88
78.7	0.0055	0.3	6.74	665.24
76.5	0.0062	0.4	6.58	643.93
75.2	0.0056	0.5	7.86	632.6
73.5	0.0056	0.6	7.42	600.35
71.9	0.006	0.7	7.12	583.92
71.4	0.0065	0.7	7.22	572.07
70.2	0.008	0.9	8.93	561.09
69.1	0.0097	0.9	6.54	557.41
68.3	0.0105	1	5.37	554.28
66.3	0.0107	1.1	1.33	580.84
64	0.0102	14.3	1.1	679.67
63.7	0.0101	149.7	1.89	818.54
69	0.0109	347.9	1.63	893.02
74.6	0.0104	540.2	4.07	918.19
79.7	0.0071	721.7	4.67	919.94
83.5	0.0046	816.4	3.28	915.89
86.1	0.0035	836.9	6.57	934.8
87.6	0.0027	785.2	7.01	927.24
88.6	0.0014	674.4	8.96	931.95
88.9	0.001	503.6	8.59	913.58
88.4	0.0016	283	6.45	799.77
87.1	0.0018	71.9	4.83	730.33
84.6	0.0025	0.4	2.27	705.81
82.8	0.0032	0.3	2.27	708.91
80.4	0.004	0.4	4.11	687.35
77.1	0.0054	0.4	4.68	647.63
75.3	0.0067	0.5	7.62	623.38
74.2	0.0075	0.6	8.05	602.13
73.7	0.0091	0.7	5.8	582.86
72.7	0.0095	0.7	4.21	574.72
70	0.0091	0.9	0.07	569.83
67.7	0.009	1.1	0.96	563.09
66	0.009	1.2	2.6	571.33
66	0.0091	1.1	1.87	602.55
65.7	0.0102	8.7	1.75	689.59
65.5	0.0115	44.3	2.08	844.63
67.5	0.0131	111.2	0.77	897.27
71.8	0.0143	220.7	2.38	912.77
74.7	0.0144	495.8	4.9	919.03
79.2	0.0132	765.7	4.88	902.62
82.9	0.012	730	4.69	907.07
84.9	0.0103	580.2	5.98	924.75
86.7	0.0087	621.2	5.85	906.58
87	0.0079	387.4	4.96	855.34
87.4	0.0071	262	3.55	709.86
86.7	0.0077	68.7	1.27	657.59
84.8	0.0083	0.3	1.24	641.86
83.6	0.0088	0.1	0.87	623.62
81.8	0.0096	0.3	0.56	573.95
80.4	0.0101	0.4	2.89	557.07
79.4	0.0109	0.4	4.28	546.93
77	0.0112	0.5	5.51	542.23
75.5	0.0119	0.5	4.45	539.22
74.2	0.0125	0.5	3.83	538.84
73.2	0.0125	0.6	2.76	536.09
72.8	0.0122	0.6	2.66	534.96
70.9	0.0124	0.7	2.66	534.16
69.8	0.0126	0.9	2.66	530.99
69.5	0.0128	12.6	1.48	525.7
68.9	0.0134	118.5	1.38	528.75
73	0.0134	313.7	0.52	556.49
77	0.0125	482.6	3.83	579.07
79.3	0.0123	675.4	5.05	586.11
81.6	0.0117	760.8	4.24	599.91
83.7	0.0099	657.3	3.37	589.97
85.4	0.008	685.1	3.27	588.34
86	0.0078	548	5.03	591.86
86.6	0.0068	439.2	4.71	586.48
86.4	0.006	226.6	3.36	573.21
85.3	0.006	49.4	5.1	569.25
82	0.0071	0.3	3.02	574.6
79.4	0.0075	0.4	6.54	576.32
78	0.0081	0.4	4.98	583.62
76.7	0.0086	0.5	5.81	577.34
74.8	0.0091	0.6	5.35	569.4
73.8	0.0097	0.6	2.96	552.12
72.5	0.0105	0.7	2.66	542.35
71.5	0.0113	0.7	2.09	539.14
71.3	0.0125	0.9	1.51	534.96
69.1	0.0118	0.9	0.09	536.54
68.1	0.012	1	0.93	535.53
68.1	0.0147	0.9	2.7	535.14
68.4	0.0151	2.8	4.04	529.47
68	0.0148	45.8	4.34	527.46
67.9	0.0148	149	5.13	540.83
69.7	0.0149	274.7	4.25	554.48
73.9	0.0141	574.8	4.68	557
78.8	0.0134	757.9	7.16	575.94
81.9	0.0125	682.2	7.01	586.2
84.5	0.0119	763.7	8.53	593.9
85.4	0.0117	339.6	8.74	605.66
84.3	0.0125	267.8	10.47	608.76
83.9	0.0132	170.5	7.9	594.7
83.8	0.0132	38	5.26	598.39
82.6	0.0137	0.1	5.62	606.15
81.3	0.0141	0.1	6.39	618.25
79.5	0.0144	0.3	5.19	613.41
78.2	0.0149	0.3	5.78	601.07
77	0.0152	0.4	3.98	588.56
75.7	0.0156	0.5	3.36	567.73
75.3	0.0158	0.5	3.84	547.06
74.9	0.0159	0.6	1.58	541.49
74.5	0.016	0.6	0.89	535.62
72.5	0.0161	0.6	5.81	530.25
73.8	0.0161	0.6	0.11	533.73
74.2	0.0161	0.5	1.59	562.9
74.5	0.0158	9.2	5.19	665
75.6	0.0152	133.1	3.61	820.47
76.5	0.0141	263.4	5.94	903.72
78.9	0.0124	526.5	8.04	930.49
82.7	0.0105	680.7	6.51	932.84
86.1	0.0087	780.3	5.32	913.45
87.7	0.0078	641.7	5.3	928.66
89.4	0.0064	773.5	5.76	962.88
89.8	0.0063	540.2	5.46	959.59
90.5	0.0056	463.1	5.58	915.32
90.3	0.0057	269.8	3.56	775.65
89.5	0.0058	56.5	3.67	722.68
86.6	0.0079	-0.1	2.74	711.97
84.4	0.0088	-0.1	4.62	705.23
84.6	0.0091	-0.1	4.43	694.34
81.5	0.0106	0	3.92	656.73
78.1	0.0124	0.3	6.54	624.01
75.7	0.0101	0.4	8.04	594.19
71.5	0.0078	0.6	9.15	575.08
68.7	0.0075	0.9	11.24	562.85
65.3	0.0071	1	13.54	558.32
62.7	0.0069	1.2	11.25	553.16
60.5	0.0066	1.4	12.55	555.73
59.2	0.0067	1.5	11.35	591.1
58	0.0063	9.9	12.24	697.82
57.6	0.0061	126.8	13.14	852.71
59.3	0.006	322.5	14.36	907.65
61.5	0.0058	506.5	15.3	930.37
64	0.0056	655.9	13.67	926.11
65.9	0.0053	745.7	14.57	912.4
66.6	0.0052	763.7	15.18	932.43
67.3	0.0051	715.4	14.64	943.83
67.2	0.0049	598.3	14.55	942.34
66.5	0.005	252.2	13.76	896.91
65.5	0.0051	113.9	11.49	782.45
63.6	0.0053	26.2	11.64	718.86
62.2	0.0053	1.2	9.78	712.53
60.9	0.0055	1.4	9.71	716.73
59.9	0.0057	1.4	7.64	714.39
58.7	0.0059	1.5	8.74	689.53
57.7	0.0058	1.5	9.8	639.23
56.8	0.0055	1.6	10.62	605.45
56.5	0.0055	1.7	9.8	581.05
56.1	0.0055	1.6	9.78	564.96
56.1	0.0055	1.6	10.31	561.95
56.4	0.0052	1.6	13.53	559.31
56.2	0.0051	1.6	11.6	566.15
55.9	0.0054	1.6	9.63	609.63
55	0.0057	2.5	11.24	703.33
53.3	0.0061	13.6	13.12	839.63
51.6	0.0069	43.1	11.6	904
52.1	0.0071	134.1	11.18	934.97
53.1	0.0066	160.2	13.2	964.95
55	0.0059	266.4	13.77	944.02
57.4	0.005	361.5	13.47	950.18
60.5	0.0041	662.7	14.38	963.48
62	0.0035	608.5	15.01	958.77
62.1	0.0032	444.5	14.66	920.18
61.3	0.0028	249	13.65	799.54
58.8	0.0029	56.3	12.32	730.74
56.3	0.0031	1.7	9.8	696.65
54.6	0.0034	1.8	7.67	681.04
53.1	0.0034	2	8.09	663.57
51.6	0.0035	2.1	7.55	647.11
50.2	0.0036	2.1	8.62	631.12
48.9	0.0035	2.2	7.18	597.62
47.9	0.003	2.5	7.81	578.54
46.7	0.0026	2.5	8.43	567.91
45.3	0.0028	2.6	7.11	554.71
43.7	0.0029	2.7	6.41	550.18
42	0.0029	2.8	7.39	553.26
41.7	0.0028	2.9	9	587.46
41.7	0.0029	13.1	9.38	679.81
42.7	0.0029	150.2	11.32	850.9
46.1	0.0024	362.5	11.97	917.35
49.9	0.0017	565.1	16.47	946.43
52.4	0.0012	720.3	18.91	959.21
54.6	0.001	812.5	17.31	949.75
56.2	0.0008	831.1	16.27	960.96
57.6	0.0006	778.4	15.62	968.85
58.2	0.0005	658.8	15.55	967.24
58.7	0.0006	476.2	14.73	935.78
58.7	0.0006	261	12.11	828.53
57.3	0.0008	57	8.58	753.95
54.7	0.0014	1.8	4.27	743.55
53.1	0.0015	2.1	2.61	742.01
52.4	0.0016	2.2	2.71	730.73
50.3	0.0019	2.3	4.12	676.46
50.3	0.0019	2.3	4.5	651.78
49.6	0.0016	2.3	4.81	637.75
49.4	0.0016	2.3	4.02	619.16
48.5	0.0017	2.2	5.1	609.32
48.3	0.0019	2.3	3.3	608.06
44.7	0.0022	2.5	6.78	603.94
43.6	0.0023	2.6	6.73	605.46
44.9	0.0025	2.6	3.74	632.81
45.6	0.0026	11.9	0.82	706.77
46.3	0.0027	138.3	0.71	839.89
49	0.0028	349.3	2.45	901.17
55.5	0.002	539.2	3.84	947.68
60.1	0.0013	704.7	7.22	960.75
64.2	0.0009	803.7	7.65	941.71
67.3	0.0005	828.1	7.36	954.44
69.7	0.001326	774.4	8.89	951
71.8	0.000818	655.4	5.95	935.29
73.2	0.002222	480.6	5.22	905.69
73.7	0.005191	265.4	6.18	762.49
72.6	0.008388	54.3	6.25	668.94
69.2	0.0007	0.7	3.91	668.69
66.6	0.0012	1	5.45	661.36
65	0.0015	1.1	7.14	654.7
64	0.0017	1.1	8.18	627.69
60.6	0.0028	1.4	9.85	599.03
59.4	0.0033	1.5	7.95	582.71
58.6	0.0036	1.6	6.81	572.5
58	0.004	1.6	2.47	563.75
58.3	0.0045	1.7	2.45	560.45
58	0.0042	1.6	6.61	559.95
58.5	0.0044	1.6	3.72	563.37
58.4	0.0048	1.6	4.36	559.52
57.6	0.005	7.9	5.23	554.6
57.3	0.005	153.9	7.38	561.72
61.5	0.0051	363	9.97	585.34
66.8	0.004	588	10.6	604.98
71	0.0027	717.3	11.47	611.14
73.8	0.0019	840.8	12.97	609.3
76	0.0016	893.5	11.83	621.68
78	0.0016	770.5	12.35	624.01
79	0.0013	649	13.12	622.76
78.8	0.0025	467.5	12.57	618.65
78.7	0.0033	210.7	10.24	603.85
77	0.0048	47	8.01	596.08
74.6	0.0055	0.5	11.19	596.84
72.3	0.0063	0.6	11.32	600.56
70.6	0.0072	0.7	12.11	598.27
69.9	0.0075	0.7	10.44	600.95
69.2	0.0079	0.7	8.13	590.19
67.6	0.0083	1	8.4	580.4
66.1	0.0084	1	8.21	575.96
65.2	0.0086	1.1	6.46	568.63
65.1	0.0087	1.1	5.48	558.59
64.5	0.0092	1.1	6.62	549.59
63.8	0.0094	1.2	7.26	543.79
63	0.0097	1.2	6.35	543.45
62.1	0.0099	11.4	4.39	535.97
62.8	0.0098	123.6	7.03	533.5
67.5	0.0093	325.9	10.09	546.8
72	0.0089	475.8	11.79	568.68
75.6	0.0084	575.3	14.72	580.34
78	0.008	656.3	12.35	595.15
80	0.0074	744.2	11.19	617.22
80.9	0.0069	484.5	9.91	629.47
81.6	0.0065	334.7	11.12	640.36
82.7	0.0061	352.8	12.09	654.75
82.7	0.0059	173.9	10.52	646.89
81.9	0.0062	44.3	10.14	629.02
79.5	0.0075	0.1	9.81	637.37
77	0.0082	0.4	8.83	640.38
75.2	0.0089	0.4	11.04	639.59
73.2	0.0095	0.5	10.22	628.96
72	0.0099	0.6	9.94	606.79
70.9	0.0101	0.7	8.08	576.33
69.9	0.0104	0.7	7.76	558.43
69	0.0106	0.9	6.06	548.6
68.4	0.011	1	5.38	545.25
67.9	0.0114	1	6.98	540.76
67.8	0.0114	0.9	8.12	548.18
67.4	0.0117	1	6.75	600.28
66.7	0.0119	8.2	4.99	685.18
67	0.0121	88.2	3.41	827.87
70.5	0.0126	169	6.37	903.61
74	0.0121	361.5	8.44	927.58
77.4	0.0113	374.2	11.34	938.74
79.2	0.0104	411.3	10.01	925.66
81	0.0093	580.2	9.53	933.89
82.7	0.0087	574.3	8.29	968.89
83.2	0.0081	296.1	7.52	972.48
83.5	0.0079	212.7	7.54	952.76
83.4	0.0078	108.5	7.81	822.66
82.6	0.0079	25.3	5.71	746.52
80.7	0.0082	0	5.52	746.87
78	0.0089	0.3	5.47	751.62
76	0.0092	0.4	4.45	720.67
74.3	0.0093	0.4	4.57	704.52
72.5	0.0098	0.5	4.61	677.88
71.7	0.0102	0.6	5.07	642.55
70.7	0.0111	0.7	4.53	621.98
70.1	0.0127	0.7	3.58	621.55
69.1	0.0127	0.9	2.15	638.38
68.1	0.0129	0.9	3.01	652.32
67.7	0.013	1	2.61	652.06
67.1	0.0134	1	3.13	668.07
66.5	0.0135	7.2	4.13	739.38
66.7	0.014	61.4	5.45	873.07
68.8	0.0151	228.8	5.38	923.9
73	0.0145	295.2	6.66	939.83
76.2	0.0127	374.2	6.94	939.17
78.6	0.0105	469.9	7.38	938.46
81	0.009	482.6	6.62	962.71
82.3	0.0083	469.4	6.88	968.61
82.5	0.008	277.1	6.93	967.41
84	0.0072	496.7	7.91	937.16
84.6	0.0063	263	7.1	829.11
82.3	0.0079	37	7.05	758.09
79.2	0.0095	0.1	6.62	734.26
77	0.0105	0.3	5.45	711.2
75.1	0.011	0.4	5.26	701.16
73.5	0.0114	0.5	5.78	664.7
71.9	0.0119	0.6	4.01	639.76
70.9	0.0123	0.7	3.63	621.36
70.3	0.0127	0.7	3.31	602.14
70	0.0131	0.7	2.09	587.86
69.3	0.0135	0.9	1.84	576.73
69.3	0.0143	0.7	3.55	573.57
69.4	0.0147	0.7	3.63	580.46
69.5	0.0147	0.7	4.76	614.37
68.7	0.0149	3.4	4.41	719.71
68.7	0.0148	28.7	5.96	859.31
69.6	0.0142	127	6.89	927.1
72.6	0.0127	350.8	6.66	955.13
76.2	0.0095	561.2	6.46	960.03
78.5	0.0074	742.2	7.1	941.74
80	0.0069	706.1	6.74	949.6
80.7	0.0059	464	6.4	965.88
81.6	0.0056	636.8	4.7	961.07
81.6	0.0056	338.6	6.63	920.22
80.9	0.006	144.8	9.14	818.39
79.5	0.0063	24.8	8.08	758.77
77.1	0.0068	0.3	7.33	751.95
75.2	0.0079	0.4	6.46	744.16
73	0.0099	0.5	5.53	712.82
71	0.0106	0.6	4.88	685.7
69.5	0.0109	0.7	4.53	646.35
68.3	0.0111	0.9	2.23	606.85
67.6	0.0113	1	2.42	587.46
66.1	0.0115	1	3.56	567.85
64.5	0.0117	1.1	4.33	563.15
63.3	0.0118	1.2	5.24	562.87
62.6	0.0119	1.2	4.58	565.53
62	0.012	1.4	3.86	601.57
61.5	0.011701	7.2	5.1	684.38
61.9	0.0119	96.5	4.64	857.55
64.8	0.0121	280	8.08	909.54
71.2	0.0111	411.3	5.74	926.07
76.4	0.0079	547	7.52	925.25
78.9	0.0069	603.1	7.76	919.38
80	0.0077	505.5	8.45	933.98
80.7	0.0074	378.6	7.26	950.34
81.9	0.0068	424.5	7.75	945.39
82.5	0.0066	249.5	6.97	918.41
81.2	0.0075	140.2	10.73	809.4
76.4	0.0098	14	9.07	751.88
74.4	0.0109	0.3	8.34	714.78
73.5	0.0121	0.4	8.92	705.07
71.5	0.0126	0.5	5.96	689.85
70.2	0.0123	0.6	5.63	668.12
69.3	0.0123	0.7	5.24	628.68
68.5	0.0118	0.9	5.04	607.84
67.3	0.0118	1	4.67	591.81
66.6	0.0122	1	5.23	579.13
65.2	0.0121	1	2.37	567.68
65.2	0.0132	1	5.37	558.86
65.7	0.0136	0.7	5.66	567.81
66.8	0.0142	0.7	4.61	614.69
66.4	0.014	5.1	4.67	694.73
65.5	0.0136	92.1	5.31	828.21
68.2	0.0134	295.2	6.83	909.09
72.6	0.0115	491.4	7.63	937.39
75.7	0.0104	598.3	6.83	951.16
78.1	0.0084	690.5	5.72	945.77
80	0.007	699.3	5.52	970.98
81.2	0.0064	700.8	7.83	969.14
82.2	0.0055	562.1	7.2	946.74
82.5	0.0051	362.5	7.7	913.43
81.8	0.0057	177.1	7.1	756.8
80.8	0.0058	28.9	5.28	688.55
78.4	0.0059	0.1	6.91	669.38
76	0.0055	0.4	8.69	636.93
73.7	0.0071	0.5	9.49	630.19
71.5	0.0096	0.6	6.58	611.14
69.3	0.011	0.6	5.58	600.04
67.6	0.0124	0.9	5.31	590.88
67	0.0132	0.9	3.46	588.29
66.9	0.0136	0.9	2.9	587.59
66.7	0.0137	1	1.61	581.58
67	0.0141	1	2.18	579.63
67.3	0.0143	0.9	5.11	575.9
66.3	0.014	0.9	4.39	575.84
66.3	0.014	3.8	8.45	570.17
67.1	0.0136	34.5	8.93	573.41
69.5	0.0123	142.4	8.78	607.88
71.7	0.0119	139	7.93	631.36
72.8	0.0116	120	5.89	650.65
73.8	0.0115	221.7	6.32	649.02
75.3	0.011	270.8	5.57	649.6
76.7	0.0105	190.2	6.75	651.44
78	0.0098	383	8.45	656.82
80	0.009	354.2	8.09	654.27
79.5	0.0091	103.1	6.81	623.85
77.4	0.0102	11.1	6.95	603.36
75.5	0.0116	0.4	6.46	607.25
71.8	0.0147	0.5	6.32	603.64
71.5	0.0147	0.6	7.04	598.88
71.2	0.0144	0.6	6.76	592.87
